TA,專案,成效,興趣,類型
28-60 / 埔里草屯霧峰 / 房地產 休閒,寬心璽玥,可,"28-60 / 埔里草屯霧峰 / 房地產 休閒-霧峰工業區（+8 公里）, 草屯市區（+8 公里）, 中投東路一段， 台中市（+8 公里） Taichung; 埔里國中（+8 公里）, 埔里國小（+8 公里）, 埔里觀光酒廠（+8 公里）
-房屋（房地產） 、房地產（產業） 、不動產（房地產） 、住家（家居和園藝用品） 、 591房屋交易網、戶外休閒活動（戶外活動） 、電視節目（電影和電視） 、休閒活動（休閒） 、旅遊（旅遊觀光） 、家庭（社會觀念） 或肥皂劇 (電視節目)",互動
"28-60 / 大林大埔美 / 製造 服務 自營商
",中祐雅苑,差,"28-60 / 大林大埔美 / 製造 服務 自營商
-大林車站（+3 公里） ; 大埔美佐登妮絲城堡園區（+3 公里）, 大埔美園區（+3 公里）
+-輪班工作制（商業與財務） 、假期（活動） 、商業模式 (商業和金融業) 、 591房屋交易網、資金、獨資企業（商業與財務） 、保全、旅遊（產業） 、餐廳（餐飲） 、代工生產、物流（商業與財務） 、政策、休閒活動（休閒） 、顧客服務（商業與財務） 或 YouTube（串流服務）、行為：小型企業主、任職公司：自営業(個人事業主)、行業類別：製造、安裝與維修服務、保護服務或運輸與搬運",訊息
28-55 / 西區西屯南屯 / 質感家居,龍板靜玥,差,"28-55 / 西區西屯南屯 / 質感家居
-台中工業區（+3 公里）, 台中好巿多（+3 公里）, 黎明新村（+3 公里）, IKEA 宜家家居 台中店（+3 公里）
-傢俱（居家裝潢） 、室內設計（設計） 、現代家具（居家裝潢） 、園藝（家居和園藝用品） 、宜家家居（零售業者） 、居家裝潢零售商 (零售) 、熱門話題、流行文化（社會觀念） 、韓國電視劇（電視節目） 、廣告（行銷） 、時尚（流行文化） 、時尚配件（飾品配件） 、 LINE 、髮型（護髮保養） 、美容（社會觀念） 、 591房屋交易網或房地產（產業）",名單
27-55 / 頭份竹南 / 教育興趣,光華盛璟,差,"27-55 / 頭份竹南 / 教育興趣
-竹南新南國小（+5 公里）, 苗栗縣私立君毅高級中學（+5 公里）, 育達科技大學（+5 公里）
-教育（社會觀念） 、學生（教育） 、高等教育（教育） 、碩士學位（高等教育） 、書籍（媒體刊物） 、閱讀（傳播） 、寫作（傳播） 、科學 (期刊) 、圖書館、親子教育（兒童和親子教育） 、職業教育（進修教育） 、財經（商業與財務） 、政府（政府機構） 、烹飪（美食和餐飲） 或休閒餐廳 (餐廳)、行業類別：教育和圖書館或政府員工（全球）",訊息
28-55 / 北屯潭子 / 投資置產,富宇藏富,差,"28-55 / 北屯潭子 / 投資置產太原車站（+5 公里）, 頭家厝菜市場（+5 公里）
-房地產（產業） 、不動產（房地產） 、房地產投資（投資） 、金融服務（商業與財務） 、投資報酬率（投資） 、財務規劃（投資） 、 591房屋交易網、私募基金、私募股權投資 (投資) 或個人理財（銀行業）",名單
27-55 / 竹南頭份 / 投資市場,光華盛璟,可,"27-55 / 竹南竹北頭份 / 投資市場
-竹南運動公園（+5 公里）, 尚順購物中心（+5 公里） ; 北新竹車站（+5 公里）, 新竹科學工業園區（+5 公里）
-股票市場（投資） 、證券交易所（投資） 、個人理財（銀行業） 、投資（商業與財務） 、房地產投資（投資） 、金錢（貨幣） 、當沖交易（投資） 、市場趨勢 (商業和金融業) 、被動收入（商業與財務） 、外匯市場（貨幣） 、納斯達克100指數、股票經紀人 (投資) 、道瓊斯工業平均指數、數位貨幣（貨幣） 、石油或黃金（金屬與礦物）
1005
-證券交易所（投資） 、個人理財（銀行業） 、石油、股票經紀人 (投資) 、市場趨勢 (商業和金融業) 、道瓊斯工業平均指數、被動收入（商業與財務） 、納斯達克100指數、外匯市場（貨幣） 、股票市場（投資） 、投資（商業與財務） 、房地產投資（投資） 、黃金（金屬與礦物） 、運動場所 (體育運動) 、羽球 (球拍類運動) 、健身俱樂部（健身） 或量販店（食品零售業者）",訊息
27-55 / 竹南竹北頭份 / 3C家具家電,光華盛璟,可,"27-55 / 竹南竹北頭份 / 3C家具家電
-竹南運動公園（+5 公里）, 尚順購物中心（+5 公里） ; 北新竹車站（+5 公里）, 新竹科學工業園區（+5 公里）
-消費電子產品（電腦和電子產品） 、高科技（電腦和電子產品） 、 iPhone（智慧型手機） 、 Apple Watch（消費電子產品） 、傢俱（居家裝潢） 、家電（消費電子產品） 、現代家具（居家裝潢） 、穿戴式科技（消費電子產品） 、手錶（飾品配件） 、 Panasonic (brand) 、 LG電子、智慧科技 (消費電子產品) 、飛利浦、室內設計（設計） 或 591房屋交易網
1005
-Apple Watch（消費電子產品） 、室內設計（設計） 、 iPhone（智慧型手機） 、 591房屋交易網、現代家具（居家裝潢） 、智慧科技 (消費電子產品) 、家電（消費電子產品） 、消費電子產品（電腦和電子產品） 、手錶（飾品配件） 、日立、消費電子產品零售商 (零售) 、任天堂 (遊戲機和相關配件) 、居家裝潢零售商 (零售) 、社群媒體行銷（行銷） 或網紅行銷 (行銷)",訊息
28-60 / 74沿線 / 投資,富宇藏富,差,"28-60 / 74沿線 / 投資
-抹茶湖-天池（+5 公里）, 太原車站（+5 公里）, 富宇藏富-北屯11期正核心（+5 公里）
-交易策略（投資） 、證券交易所（投資） 、個人理財（銀行業） 、財務規劃（投資） 、金融服務（商業與財務） 、被動收入（商業與財務） 、投資管理（投資） 、股票（投資） 、投資策略（投資） 、外匯市場（貨幣） 、股票市場（投資） 、企業家（商業與財務） 、股份 (金融) 、投資（商業與財務） 、資產管理 (商業和金融業) 、房地產投資（投資） 、 BMW 5系列、財富管理（銀行業） 、高爾夫球（體育運動） 、房地產（產業） 、梅賽德斯-賓士S級或不動產（房地產）",名單
28-55 / 大坑太原洲際 / 室內裝修 / 年輕人興趣,富宇藏富,差,"28-55 / 大坑太原洲際 / 室內裝修 / 年輕人興趣
-大坑風景區8、7號步道（+2 公里）, 太原車站（+3 公里）, 洲際三街， 台中市（+3 公里） Taichung
-UberEATS 、室內設計（設計） 、行動支付（貨幣） 、 Uniqlo（服飾） 、居家裝修（家居和園藝用品） 、租賃（房地產） 、信用卡（借貸） 、無印良品、 Guess（服飾） 、行動銀行（銀行業） 或 Apple Pay",名單
28-55 / 西區北區北屯 / 保險金融,龍板靜玥,⠀,"28-55 / 西區北區北屯 / 保險金融
-北屯國民運動中心（+3 公里）, 天津路年貨大街（+3 公里）, 勤美 誠品綠園道（+3 公里）, 大富街， 台中市（+3 公里） Taichung
-保險（商業與財務） 、保單（保險） 、財產保險、責任保險、金融服務（商業與財務） 、個人理財（銀行業） 、財務規劃（投資） 、財務顧問 (投資) 、投資策略（投資） 、被動收入（商業與財務） 、退休規劃（銀行業） 、銀行業（金融） 或 591房屋交易網",
28-60 / 大林民雄 / 通勤 保險 工業,中祐雅苑,差,"28-60 / 大林民雄 / 通勤 保險 工業
-民雄車站（+3 公里）, 大林車站（+3 公里）, 歐樂沃築夢城堡 Otherworld（+3 公里） ; 大埔美佐登妮絲城堡園區（+3 公里）, 大埔美園區（+3 公里）
-能源效率（能源與公用事業） 、上班族（流行文化） 、技術員、佳能企業、代工生產、休閒活動（休閒） 、保險（商業與財務） 、保單（保險） 、倉儲業（產業） 、工廠（製造業） 、顧客關係管理（公關） 、室內設計（設計） 或 591房屋交易網、行為：通勤者、任職公司：自営業(個人事業主)",訊息
28-55 / 南區東區太平 / 年輕創業 ,大漁樂芙,優,"28-55 / 南區東區太平 / 年輕創業 
-臺中火車站（+3 公里）, 精武路（+3 公里）, 建國北黃昏市場（+5 公里）
-自由工作者（工作機會） 、居家事業（商業與財務） 、被動收入（商業與財務） 、自僱（工作機會） 、女性企業家（商業與財務） 、獨資企業（商業與財務） 、創意創業 (商業和金融業) 、美學（哲學） 、設計（設計） 、美容（社會觀念） 、商業模式 (商業和金融業) 、行銷企劃 (行銷) 、攝影師（攝影） 、角蛋白、髮型（護髮保養） 、室內設計（設計） 、零售業（產業） 或商業計畫 (商業活動)、行為：小型企業主",名單
28-55 / 南區東區太平 / 理財 儲蓄,大漁樂芙,差,"28-55 / 南區東區太平 / 理財 儲蓄
-臺中火車站（+3 公里）, 精武路（+3 公里）, 建國北黃昏市場（+5 公里）
-儲蓄（銀行業） 、 7-11 、上班族（流行文化） 、存款帳戶 (銀行業) 、優惠券（優惠券和折扣） 、超市（食品零售業者） 、儲蓄互助社、金錢（貨幣） 、財務規劃（投資） 、折扣和折讓（優惠券和折扣） 、儲蓄帳戶（銀行業） 、 591房屋交易網、被動收入（商業與財務） 、熱門話題、便利商店（零售業者） 、股票市場（投資） 、投資（商業與財務） 、現金、信用額度（借貸） 或個人理財服務和組織 (銀行業)",名單
25-55 / 大台中 /百葉簾 家具,臻富裕,優,"25-55 / 大台中 /百葉簾 家具
-台中中央公園（+8 公里）, 台中IKEA旗艦店（+8 公里）, 臺中市港區藝術中心（+8 公里）
-傢俱（居家裝潢） 、居家裝修（家居和園藝用品） 、室內設計（設計） 、現代家具（居家裝潢） 、百葉簾、窗戶（建築） 、宜家家居（零售業者） 、居家飾品 (居家裝潢) 、居家裝潢零售商 (零售) 、美學（哲學） 或住家修繕（居家裝修）
1208
-華山文創（+20 公里） ; 桃園車站（+20 公里） ; 台中中央公園（+20 公里）, 彰化車站（+20 公里） ; 北新竹車站（+20 公里）
+ Procurement 、生活風格 (生活風格內容) 、居家用品零售商 (零售) 、 LifeStyle Home 、室內建築（建築） 、住家翻新 (住家修繕) 或 Architecture & Interior Design",訊息
"30-60 / 沙鹿梧棲清水 / 汽車業 UBER
",永尚樾山丘,可,"30-60 / 沙鹿梧棲清水 / 汽車業 UBER
-沙鹿火車站（+3 公里）, 龍井車站（+3 公里）, 台中國際機場（+3 公里）
-小吃、計程車司機、金融服務（商業與財務） 、兼職（工作機會） 、美食（美食和餐飲） 、 Customer support 、 591房屋交易網、在地美食（美食和餐飲） 、出租車、服裝（服飾） 、小吃店、顧客服務（商業與財務） 、烹飪（美食和餐飲） 、工作（工作機會） 或 Uber（公司）",訊息
,門門一合院,⠀,30-60 / 西屯南屯 / 品酒精品 / 高級運動,
"28-55 / 中科西屯 / 工程師興趣
",永尚樾山丘,優,"28-55 / 中科西屯 / 工程師興趣
-中科林厝公園（+3 公里）, 台中工業區（+3 公里）, 新光三越 台中中港店（+3 公里）
-資訊科技（電腦和電子產品） 、軟體開發（軟體） 、大數據 (科學) 、人工智慧（計算） 、新興技術（科學） 、智慧科技 (消費電子產品) 、股票（投資） 、網路社區、棒球（體育運動） 、 NBA季後賽、行動支付（貨幣） 、 Google電子錢包或 Uber（公司）、行為：行銷 API 開發人員（過去 90 天）
1121-台中工業區（+3 公里）, 水崛頭公園（+3 公里）, 老虎城購物中心（台中）（+3 公里）
人工智慧（計算） 、棒球（體育運動） 、大數據 (科學) 、資訊科技（電腦和電子產品） 、行動支付（貨幣） 、智慧科技 (消費電子產品) 、股票（投資） 、新興技術（科學） 、軟體開發（軟體） 、網路社區、 Uber（公司） 、 Trivago 、 http://geek.com/ 、旅遊網站（網站） 或 GitHub
1125
-台中工業區（+4 公里）, 水崛頭公園（+4 公里）, 中力健身中心-沙鹿館（+4 公里）
-人工智慧（計算） 、棒球（體育運動） 、 GitHub 、旅遊網站（網站） 、大數據 (科學) 、資訊科技（電腦和電子產品） 、行動支付（貨幣） 、智慧科技 (消費電子產品) 、股票（投資） 、新興技術（科學） 、軟體開發（軟體） 、網路社區、 Uber（公司） 、 Trivago 、 http://geek.com/ 、健身俱樂部（健身） 、重量訓練（舉重） 、智慧裝置（消費電子產品） 、雞肉 (食品) 、羅技或 Razer",訊息
27-55 / 西屯沙鹿 / 醫療相關,華偉知見,可,"27-55 / 西屯沙鹿 / 醫療相關
-光田綜合醫院 Kuang Tien General Hospital（+3 公里）, 台中榮總急診大樓（+3 公里）, 台中澄清醫院中港分院（+3 公里）, 沙鹿童綜合（+3 公里）, 台灣大道六段（+3 公里）
-生物技術、醫學院 (高等教育) 、牙科學院 (高等教育) 、研究所教育（高等教育） 、保單（保險） 、個人理財（銀行業） 、生物學（科學） 、派對（活動） 、時尚配件（飾品配件） 、英語（語言） 、休閒餐廳 (餐廳) 、實驗室、衛生政策研究、政府（政府機構） 、生命科學、生命延續、美容（社會觀念） 、智慧科技 (消費電子產品) 或穿戴式科技（消費電子產品）, 行業類別：健康照護與醫療服務",訊息
28-60 / 台中市區 / 1%+房地產,富宇藏富,差,"28-60 / 台中市區 / 1%+房地產
類似廣告受眾 (TW, 1%) - 富宇逢甲90天像素、類似廣告受眾 (TW, 1%) - 富宇藏富/90天像素、類似廣告受眾 (1%) - 光与玥 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 富宇鉑金大苑 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 小艾中部2000以上網站訪客-2023 、類似廣告受眾 (TW, 1%) - 富宇 - 科研双星 電話名單（09）.txt 、類似廣告受眾 (TW, 1%) - 科研双星 / 粉專互動 / 180D 、類似廣告受眾 (TW, 1%) - 北屯高總名單.txt 、類似廣告受眾 (TW, 1%) - 小艾中部2000以上 90天網站像素、類似廣告受眾 (TW, 1%) - 富宇榮耀市政 180天網站像素、類似廣告受眾 (TW, 1%) - 富宇藏富 180天貼文互動、類似廣告受眾 (TW, 1%) - People who like 富宇藏富-北屯11期正核心或類似廣告受眾 (TW, 1%) - People who like 富宇天雋
-文心路一段， 台中市（+8 公里）, 高鐵三路， 台中市（+4 公里） Taichung
-房地產（產業） 、房地產投資（投資） 、不動產（房地產） 、股份 (金融) 、資金、房屋（房地產） 、資產管理 (商業和金融業) 或 591房屋交易網",名單
